id,label,definition,synonym,xref,super,comment,property,value
CO_715:0000081,Soil texture,Soil texture classes.,,,Collecting location data,"For convenience in determining the texture classes of the following list, particle size classes are given for each of the fine earth fraction.",,
CO_715:0000081,Soil texture,Soil texture classes.,,,Soil factor,"For convenience in determining the texture classes of the following list, particle size classes are given for each of the fine earth fraction.",,
CO_715:0000033,Planting date,The date of planting in the format MM-DD-YYYY.,,IRIS_TRAITID:224,Time factor,,,
CO_715:0000053,Leaf derived GID,,,,GID,,,
CO_715:0000124,Light intensity,,,,Light,,,
CO_715:0000049,Collecting location data,Data related to the collecting site which are referred to in the general passport worksheet.,,,,,part_of,Observation entity
CO_715:0000197,Nutrient hormone,,,,Growth control agent,,,
CO_715:0000168,Rainfall,,,,Rain-fed condition,,,
CO_715:0000009,Harvest starting date,Date of harvest starting.,,,Harvest date,,,
CO_715:0000007,Sowing date,Date of sowing in the format MM-DD-YYYY.,,,Time factor,In the form of DDMMYY.,,
CO_715:0000007,Sowing date,Date of sowing in the format MM-DD-YYYY.,,,Cultural practices,In the form of DDMMYY.,,
CO_715:0000140,Spike disease development,,,,Disease development,,,
CO_715:0000123,Photoperiod,,,,Light,,,
CO_715:0000160,Hill spacing,Distance of planting between hills within rows.,,IWIS_TRAITID:209,,,part_of,Row-to-row spacing
CO_715:0000131,Plant nutrient factor,,,,Abiotic factor,,,
CO_715:0000023,Harvested row number,Total number of rows harvested.,,,Row number,,,
CO_715:0000023,Harvested row number,Total number of rows harvested.,,,Observation entity,,,
CO_715:0000136,Precipitation,The falling of any form of water (rain or snow or hail or sleet or mist) to the experimental sites.,,,Abiotic factor,,,
CO_715:0000170,Rainfall duration,,,,Rainfall,,,
CO_715:0000112,Heavy metal,,,,Chemical factor,,,
CO_715:0000204,Fertilizer treatment,The process of managing filed environment by treating fertilizers.,,,Field management,,,
CO_715:0000210,Flooding,,,,,,method_of,Water treatment
CO_715:0000076,Site ID,Unique identifier where the experiment was executed.,location ID,,Collecting location data,,,
CO_715:0000076,Site ID,Unique identifier where the experiment was executed.,location ID,,Experimental site information,,,
CO_715:0000072,Longitude - minute,Minutes followed by east (E) and west (W).,,,Longitude,,,
CO_715:0000016,Purpose of experiment,Purpose of the experiment.,,,Experiment information entity,,,
CO_715:0000143,Block number,Specific block number in the experimental layout.,range,IWIS_TRAITID:202,Block design,,,
CO_715:0000143,Block number,Specific block number in the experimental layout.,block in layout,IWIS_TRAITID:202,Block design,,,
CO_715:0000022,Space between harvested rows,Measurement of space between rows harvested.,,,Experiment information entity,,,
CO_715:0000022,Space between harvested rows,Measurement of space between rows harvested.,,,Row-to-row spacing,,,
CO_715:0000235,Acquisition date,Date on which the accession entered the collection.,,,Passport information entity,"YYYY is the year, MM is the month and DD is the day. Missing data (MM or DD) should be indicated with hyphens. Leading zeros are required. Format: [MM-DD-YYYY].",,
